Date,AAPL
08/12/1992,2.0759
09/12/1992,2.058
10/12/1992,2.0446
11/12/1992,2.0536
14/12/1992,2.0446
15/12/1992,2.0134
16/12/1992,1.9643
17/12/1992,2.0313
18/12/1992,2.0804
21/12/1992,2.1295
22/12/1992,2.1652
23/12/1992,2.1339
24/12/1992,2.1071
25/12/1992,2.1071
28/12/1992,2.125
29/12/1992,2.1295
30/12/1992,2.0982
31/12/1992,2.1339
01/01/1993,2.1339
04/01/1993,2.0804
05/01/1993,2.1161
06/01/1993,2.2054
07/01/1993,2.1786
08/01/1993,2.2232
11/01/1993,2.2902
12/01/1993,2.1964
13/01/1993,2.2679
14/01/1993,2.3214
15/01/1993,2.1518
18/01/1993,2.125
19/01/1993,2.1339
20/01/1993,2.1429
21/01/1993,2.1429
22/01/1993,2.125
25/01/1993,2.1429
26/01/1993,2.1696
27/01/1993,2.1518
28/01/1993,2.1384
29/01/1993,2.125
01/02/1993,2.1875
02/02/1993,2.1518
03/02/1993,2.1429
04/02/1993,2.125
05/02/1993,2.0446
08/02/1993,2.0179
09/02/1993,2.0313
10/02/1993,1.9911
11/02/1993,1.9688
12/02/1993,1.9241
15/02/1993,1.9241
16/02/1993,1.8929
17/02/1993,1.9241
18/02/1993,1.9643
19/02/1993,1.9643
22/02/1993,1.9688
23/02/1993,1.9375
24/02/1993,1.9152
25/02/1993,1.9554
26/02/1993,1.8929
01/03/1993,1.9018
02/03/1993,1.9375
03/03/1993,1.9509
04/03/1993,1.9643
05/03/1993,1.9643
08/03/1993,2.0179
09/03/1993,2.0268
10/03/1993,2.0268
11/03/1993,2.0313
12/03/1993,2.0089
15/03/1993,2.0357
16/03/1993,2.0179
17/03/1993,1.9688
18/03/1993,1.9464
19/03/1993,1.9196
22/03/1993,1.9018
23/03/1993,1.8839
24/03/1993,1.9196
25/03/1993,1.9554
26/03/1993,1.9018
29/03/1993,1.8214
30/03/1993,1.8661
31/03/1993,1.8393
01/04/1993,1.8482
02/04/1993,1.7902
05/04/1993,1.7857
06/04/1993,1.7411
07/04/1993,1.8036
08/04/1993,1.7768
09/04/1993,1.7768
12/04/1993,1.7857
13/04/1993,1.7321
14/04/1993,1.7411
15/04/1993,1.6875
16/04/1993,1.7188
19/04/1993,1.7321
20/04/1993,1.7857
21/04/1993,1.7723
22/04/1993,1.7857
23/04/1993,1.7589
26/04/1993,1.75
27/04/1993,1.7946
28/04/1993,1.8348
29/04/1993,1.8125
30/04/1993,1.8304
03/05/1993,1.8527
04/05/1993,1.9063
05/05/1993,1.9464
06/05/1993,1.9196
07/05/1993,1.9554
10/05/1993,1.9643
11/05/1993,1.9464
12/05/1993,1.9018
13/05/1993,1.9821
14/05/1993,1.9821
17/05/1993,1.9911
18/05/1993,1.9821
19/05/1993,2.0446
20/05/1993,2.0982
21/05/1993,2.0536
24/05/1993,2.058
25/05/1993,2.0134
26/05/1993,2.0625
27/05/1993,2.0536
28/05/1993,2.0223
31/05/1993,2.0223
01/06/1993,2.0357
02/06/1993,2.0357
03/06/1993,2.0134
04/06/1993,1.9598
07/06/1993,1.8125
08/06/1993,1.7679
09/06/1993,1.5804
10/06/1993,1.5893
11/06/1993,1.5625
14/06/1993,1.5938
15/06/1993,1.5
16/06/1993,1.5089
